,ChEMBL_ID,TARGETS,REFERENCE,PUBMED_ID
0,CHEMBL1909411,EGFR/ErbB2,"Bioorg. Med. Chem. Lett., 14, p. 111 (2004)",14684309
1,CHEMBL175321,TRKA,"Bioorg. Med. Chem. Lett., 14, p. 953 (2004)",15013000
2,CHEMBL1909379,EGFR/ErbB2,"Bioorg. Med. Chem. Lett., 11, p. 1401 (2001)",11378364
3,CHEMBL1096290,AKT1,"Bioorg. Med. Chem. Lett., 19, p. 1508 (2009)",19179070
4,CHEMBL1909349,AKT1,"Bioorg. Med. Chem. Lett., 19, p. 1508 (2009)",19179070
5,CHEMBL518953,PLK1,"Bioorg. Med. Chem. Lett., 19, p. 1018 (2009)",19097784
6,CHEMBL473420,PLK1,"Bioorg. Med. Chem. Lett., 19, p. 1018 (2009)",19097784
7,CHEMBL471789,PLK1,"Bioorg. Med. Chem. Lett., 19, p. 1018 (2009)",19097784
8,CHEMBL518968,PLK1,"Bioorg. Med. Chem. Lett., 19, p. 1018 (2009)",19097784
9,CHEMBL482326,PLK1,"Bioorg. Med. Chem. Lett., 19, p. 1018 (2009)",19097784
10,CHEMBL477069,IGF-1R,"Bioorg. Med. Chem. Lett., 19, p. 469 (2009)",19056263
11,CHEMBL458865,IGF-1R,"Bioorg. Med. Chem. Lett., 19, p. 469 (2009)",19056263
12,CHEMBL476259,IGF-1R,"Bioorg. Med. Chem. Lett., 19, p. 469 (2009)",19056263
13,CHEMBL450071,IGF-1R,"Bioorg. Med. Chem. Lett., 19, p. 469 (2009)",19056263
14,CHEMBL458438,IGF-1R,"Bioorg. Med. Chem. Lett., 19, p. 373 (2009)",19081716
15,CHEMBL517171,IGF-1R,"Bioorg. Med. Chem. Lett., 19, p. 360 (2009)",19071018
16,CHEMBL505915,IGF-1R,"Bioorg. Med. Chem. Lett., 19, p. 360 (2009)",19071018
17,CHEMBL384073,ROCK1,"J. Med. Chem., 50, p. 6 (2007)",17201405
18,CHEMBL514261,IGF-1R,"Bioorg. Med. Chem. Lett., 19, p. 373 (2009)",19081716
19,CHEMBL517123,EGFR/ErbB2,"Bioorg. Med. Chem. Lett., 19, p. 817 (2009)",19111461
20,CHEMBL512076,EGFR/ErbB2,"Bioorg. Med. Chem. Lett., 19, p. 817 (2009)",19111461
21,CHEMBL1909408,EGFR/ErbB2,"Bioorg. Med. Chem. Lett., 19, p. 1332 (2009)",19208477
22,CHEMBL473629,PLK1,"Bioorg. Med. Chem. Lett., 19, p. 1018 (2009)",19097784
23,CHEMBL456252,IGF-1R,"Bioorg. Med. Chem. Lett., 19, p. 373 (2009)",19081716
24,CHEMBL463931,IGF-1R,"Bioorg. Med. Chem. Lett., 19, p. 373 (2009)",19081716
25,CHEMBL458415,IGF-1R,"Bioorg. Med. Chem. Lett., 19, p. 373 (2009)",19081716
26,CHEMBL511765,IGF-1R,"Bioorg. Med. Chem. Lett., 19, p. 360 (2009)",19071018
27,CHEMBL467581,IGF-1R,"Bioorg. Med. Chem. Lett., 19, p. 360 (2009)",19071018
28,CHEMBL1895450,IGF-1R,"Bioorg. Med. Chem. Lett., 19, p. 373 (2009)",19081716
29,CHEMBL521806,PLK1,"Bioorg. Med. Chem. Lett., 19, p. 1694 (2009)",19237286
30,CHEMBL222419,PLK1,"Bioorg. Med. Chem. Lett., 19, p. 1694 (2009)",19237286
31,CHEMBL466412,EGFR/ErbB2,"Bioorg. Med. Chem. Lett., 19, p. 817 (2009)",19111461
32,CHEMBL1909409,EGFR/ErbB2,"Bioorg. Med. Chem. Lett., 19, p. 1332 (2009)",19208477
33,CHEMBL220465,ROCK1,"J. Med. Chem., 50, p. 2 (2007)",17201404
34,CHEMBL1909410,EGFR/ErbB2,"Bioorg. Med. Chem. Lett., 19, p. 1332 (2009)",19208477
35,CHEMBL1909363,ROCK1,"J. Med. Chem., 50, p. 2 (2007)",17201404
36,CHEMBL441702,ROCK1,"J. Med. Chem., 50, p. 6 (2007)",17201405
37,CHEMBL374453,ROCK1,"J. Med. Chem., 50, p. 6 (2007)",17201405
38,CHEMBL475599,EGFR/ErbB2,"Bioorg. Med. Chem. Lett., 19, p. 817 (2009)",19111461
39,CHEMBL480382,PLK1,"Bioorg. Med. Chem. Lett., 19, p. 1018 (2009)",19097784
40,CHEMBL493326,PLK1,"Bioorg. Med. Chem. Lett., 19, p. 1694 (2009)",19237286
41,CHEMBL522709,PLK1,"Bioorg. Med. Chem. Lett., 19, p. 1694 (2009)",19237286
42,CHEMBL485598,ROCK1,"J. Med. Chem., 51, p. 6631 (2008)",18842034
43,CHEMBL373751,IKKe,"Bioorg. Med. Chem. Lett., 16, p. 6236 (2006)",16997559
44,CHEMBL1794068,PLK1,"Bioorg. Med. Chem. Lett., 19, p. 1694 (2009)",19237286
45,CHEMBL218720,ROCK1,"J. Med. Chem., 50, p. 6 (2007)",17201405
46,CHEMBL427058,ROCK1,"J. Med. Chem., 50, p. 6 (2007)",17201405
47,CHEMBL1794065,AKT1,"J. Med. Chem., 51, p. 5663 (2008)",18800763
48,CHEMBL1794064,AKT1,"J. Med. Chem., 51, p. 5663 (2008)",18800763
49,CHEMBL1794069,PLK1,"Bioorg. Med. Chem. Lett., 19, p. 1694 (2009)",19237286
50,CHEMBL1794070,PLK1,"Bioorg. Med. Chem. Lett., 19, p. 1694 (2009)",19237286
51,CHEMBL230597,IKKa/IKKb,"Bioorg. Med. Chem. Lett., 17, p. 3972 (2007)",17502144
52,CHEMBL231013,IKKa/IKKb,"Bioorg. Med. Chem. Lett., 17, p. 3972 (2007)",17502144
53,CHEMBL1909375,AKT1,"J. Med. Chem., 51, p. 5663 (2008)",18800763
54,CHEMBL1794066,AKT1,"J. Med. Chem., 51, p. 5663 (2008)",18800763
55,CHEMBL231623,IKKa/IKKb,"Bioorg. Med. Chem. Lett., 17, p. 3972 (2007)",17502144
56,CHEMBL230911,IKKa/IKKb,"Bioorg. Med. Chem. Lett., 17, p. 3972 (2007)",17502144
57,CHEMBL230592,IKKa/IKKb,"Bioorg. Med. Chem. Lett., 17, p. 3972 (2007)",17502144
58,CHEMBL268885,IKKa/IKKb,"Bioorg. Med. Chem. Lett., 17, p. 3972 (2007)",17502144
59,CHEMBL505187,b-RAF,"Bioorg. Med. Chem. Lett., 18, p. 4610 (2008)",18662874
60,CHEMBL1096626,AKT1,"Bioorg. Med. Chem. Lett., 19, p. 1508 (2009)",19179070
61,CHEMBL1096634,AKT1,"Bioorg. Med. Chem. Lett., 19, p. 1508 (2009)",19179070
62,CHEMBL1909350,AKT1,"Bioorg. Med. Chem. Lett., 19, p. 1508 (2009)",19179070
63,CHEMBL483748,IKKb,"J. Med. Chem., 52, p. 3098 (2009)",19348415
64,CHEMBL514938,EGFR/ErbB2,"Bioorg. Med. Chem. Lett., 19, p. 817 (2009)",19111461
65,CHEMBL1794067,PLK1,"Bioorg. Med. Chem. Lett., 19, p. 1694 (2009)",19237286
66,CHEMBL483747,IKKb,"J. Med. Chem., 52, p. 3098 (2009)",19348415
67,CHEMBL513897,IGF-1R,"Bioorg. Med. Chem. Lett., 19, p. 469 (2009)",19056263
68,CHEMBL1794059,TRKA,"Bioorg. Med. Chem. Lett., 14, p. 953 (2004)",15013000
69,CHEMBL271843,CDK2,"J. Med. Chem., 44, p. 4339 (2001)",11728181
70,CHEMBL269827,CDK2,"J. Med. Chem., 44, p. 4339 (2001)",11728181
71,CHEMBL1794058,TRKA,"Bioorg. Med. Chem. Lett., 14, p. 953 (2004)",15013000
72,CHEMBL1909397,CDK2,"J. Med. Chem., 44, p. 4339 (2001)",11728181
73,CHEMBL270054,CDK2,"J. Med. Chem., 44, p. 4339 (2001)",11728181
